"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"201304";SUDESTE;196.13
"201304";SUL;196.13
"201305";NORDESTE;344.94
"201305";NORTE;344.84
"201305";SUDESTE;344.84
"201305";SUL;344.84
"201306";NORDESTE;207.94
"201306";NORTE;207.67
"201306";SUDESTE;207.62
"201306";SUL;204.1
"201307";NORDESTE;121.61
"201307";NORTE;121.35
"201307";SUDESTE;121.29
"201307";SUL;102.59
"201308";NORDESTE;164.69
"201308";NORTE;163.38
"201308";SUDESTE;163.38
"201308";SUL;145.56
"201309";NORDESTE;269.1
"201309";NORTE;269.1
"201309";SUDESTE;266.16
"201309";SUL;248.36
"201310";NORDESTE;270.23
"201310";NORTE;262.48
"201310";SUDESTE;260.99
"201310";SUL;213.92
"201311";NORDESTE;331.07
"201311";NORTE;331.07
"201311";SUDESTE;331.07
"201311";SUL;331.07
"201312";NORDESTE;291.86
"201312";NORTE;290.72
"201312";SUDESTE;290.72
"201312";SUL;290.72
"201401";NORDESTE;379.35
"201401";NORTE;364.8
"201401";SUDESTE;378.22
"201401";SUL;378.22
"201402";NORDESTE;755.9
"201402";NORTE;452.44
"201402";SUDESTE;822.83
"201402";SUL;822.83
"201403";NORDESTE;756.37
"201403";NORTE;696.21
"201403";SUDESTE;822.83
"201403";SUL;822.83
"201404";NORDESTE;744.28
"201404";NORTE;640.73
"201404";SUDESTE;822.83
"201404";SUL;822.83
"201405";NORDESTE;772.21
"201405";NORTE;334.59
"201405";SUDESTE;806.97
"201405";SUL;806.97
"201406";NORDESTE;412.6
"201406";NORTE;412.6
"201406";SUDESTE;412.65
"201406";SUL;206.99
"201407";NORDESTE;592.54
"201407";NORTE;592.54
"201407";SUDESTE;592.54
"201407";SUL;503.1
"201408";NORDESTE;709.53
"201408";NORTE;709.53
"201408";SUDESTE;709.53
"201408";SUL;709.53
"201409";NORDESTE;728.95
"201409";NORTE;728.95
"201409";SUDESTE;728.95
"201409";SUL;728.95
"201410";NORDESTE;776.88
"201410";NORTE;776.88
"201410";SUDESTE;776.88
"201410";SUL;731.53
"201411";NORDESTE;804.54
"201411";NORTE;804.54
"201411";SUDESTE;804.54
